,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z,X,Y,Z,W,X,Y,Z
9,0.15,-0.003631,0.041837,-0.00795,0.999086,0.893629,0.135639,-0.170715,-0.001704,-0.107587,-0.003398,0.994188,-0.005057,-0.020752,0.097266,-0.001756,0.152639,0.001268,0.98828,0.521313,0.011389,-0.339589,,,,,,,,-0.043455,-0.175332,0.312509,0.932582,-0.042479,-0.032073,-0.246243,-0.007983,0.957592,-0.003759,0.287992,-0.532689,-0.015754,-0.151015,0.044248,-0.005156,0.008463,0.998971,-0.116322,1.545695,-0.336896,-0.048994,0.005857,0.016987,0.998637,-0.062954,1.164875,-0.613796,-0.021364,0.034088,0.005546,0.999175,-0.270241,0.757715,-0.444194,-0.058351,0.010981,0.057317,0.996589,0.18545,0.84632,-0.358086,0.023179,-0.462954,0.039614,0.885193,-0.191029,0.100779,-0.521174,-0.012856,0.050178,0.016397,0.998523,0.164026,0.097994,-0.546817
10,0.166667,-0.00411,0.04323,-0.008144,0.999024,0.893621,0.135635,-0.170675,-0.001716,-0.107563,-0.003296,0.994191,-0.005044,-0.020749,0.097259,-0.001518,0.152523,0.001285,0.988298,0.521305,0.011386,-0.33961,,,,,,,,-0.043429,-0.175184,0.312804,0.932512,-0.042451,-0.032075,-0.246228,-0.007919,0.957616,-0.003972,0.287911,-0.532687,-0.015744,-0.151015,0.044802,-0.004851,0.007839,0.998953,-0.116485,1.545537,-0.335655,-0.046589,0.006115,0.016906,0.998752,-0.063878,1.165335,-0.613425,-0.022465,0.043337,0.003477,0.998802,-0.270413,0.758028,-0.443164,-0.057502,0.012301,0.057141,0.996633,0.18572,0.846406,-0.358462,0.01957,-0.461882,0.04201,0.88573,-0.190874,0.100275,-0.521202,-0.013479,0.049259,0.017007,0.99855,0.163982,0.098031,-0.546896
11,0.183333,-0.004109,0.043284,-0.00801,0.999022,0.893641,0.135644,-0.170674,-0.00172,-0.107589,-0.003344,0.994188,-0.005059,-0.020753,0.097272,-0.001669,0.15262,0.001257,0.988283,0.521301,0.011376,-0.3396,,,,,,,,-0.043582,-0.17529,0.312822,0.932479,-0.042513,-0.032045,-0.246262,-0.007899,0.957611,-0.003829,0.28793,-0.532687,-0.015748,-0.151015,0.046325,-0.005065,0.007447,0.998886,-0.116668,1.545311,-0.334444,-0.047046,0.006409,0.016392,0.998738,-0.064835,1.165802,-0.61297,-0.024711,0.054468,0.000826,0.998209,-0.27067,0.758562,-0.441868,-0.056159,0.01435,0.058824,0.996584,0.185946,0.84635,-0.359127,0.023006,-0.46272,0.040588,0.885276,-0.190875,0.100706,-0.521244,-0.013633,0.04982,0.017019,0.99852,0.16399,0.098096,-0.546948
12,0.2,-0.004227,0.043537,-0.008211,0.999009,0.893634,0.135639,-0.170663,-0.001705,-0.107604,-0.003358,0.994187,-0.005055,-0.02075,0.097267,-0.001565,0.15256,0.001299,0.988292,0.521319,0.011389,-0.3396,,,,,,,,-0.043555,-0.175243,0.313693,0.932196,-0.042511,-0.032061,-0.246101,-0.007702,0.957655,-0.004061,0.287786,-0.532681,-0.015748,-0.151011,0.046791,-0.004649,0.006191,0.998875,-0.11692,1.545052,-0.333007,-0.044506,0.007074,0.016673,0.998845,-0.065843,1.166291,-0.612451,-0.027565,0.067392,-0.003147,0.997341,-0.270963,0.759361,-0.440289,-0.054571,0.017513,0.057644,0.996691,0.185906,0.846381,-0.359941,0.02153,-0.4616,0.04236,0.885815,-0.19089,0.100751,-0.521322,-0.014845,0.049746,0.017388,0.9985,0.163947,0.098137,-0.547088
13,0.216667,-0.00331,0.041946,-0.007823,0.999084,0.893669,0.135627,-0.170758,-0.001693,-0.107603,-0.003404,0.994187,-0.005054,-0.020752,0.097268,-0.001566,0.15254,0.001291,0.988295,0.521301,0.011384,-0.339608,,,,,,,,-0.043622,-0.17517,0.314322,0.931995,-0.04252,-0.032061,-0.24621,-0.007937,0.957629,-0.003947,0.287869,-0.532683,-0.015747,-0.151014,0.048689,-0.005451,0.005329,0.998785,-0.117164,1.544762,-0.331602,-0.042343,0.008502,0.016467,0.998931,-0.066995,1.16677,-0.611926,-0.030799,0.081389,-0.007615,0.996177,-0.271368,0.760246,-0.438456,-0.052143,0.017717,0.056838,0.996863,0.18573,0.846244,-0.360882,0.021202,-0.461079,0.042715,0.886077,-0.190912,0.100741,-0.521408,-0.016214,0.049449,0.018669,0.998471,0.163947,0.098178,-0.547318
14,0.233333,-0.003968,0.043725,-0.007241,0.99901,0.89374,0.135582,-0.170677,-0.001657,-0.107571,-0.003449,0.99419,-0.005044,-0.02075,0.097263,-0.001606,0.152574,0.001359,0.98829,0.521307,0.011377,-0.339609,,,,,,,,-0.043739,-0.175233,0.314707,0.931848,-0.042571,-0.032052,-0.246204,-0.007918,0.957638,-0.003615,0.287845,-0.532679,-0.015748,-0.151005,0.048708,-0.004594,0.004297,0.998793,-0.117312,1.54446,-0.330067,-0.041374,0.009546,0.016115,0.998968,-0.068208,1.167254,-0.611357,-0.033811,0.094839,-0.01141,0.994853,-0.272028,0.761138,-0.436483,-0.052692,0.025103,0.053132,0.99688,0.185151,0.846127,-0.361872,0.022668,-0.462637,0.041564,0.885283,-0.190995,0.100615,-0.521482,-0.016658,0.04951,0.018999,0.998454,0.163895,0.098238,-0.547465
15,0.25,-0.003561,0.042661,-0.007924,0.999052,0.893648,0.135614,-0.170712,-0.001692,-0.107597,-0.003419,0.994187,-0.005056,-0.020755,0.097265,-0.001612,0.152557,0.001352,0.988292,0.521303,0.011387,-0.339611,,,,,,,,-0.043855,-0.175153,0.315508,0.931586,-0.04259,-0.032056,-0.246243,-0.007935,0.957609,-0.003766,0.287938,-0.532686,-0.015746,-0.151014,0.048925,-0.004674,0.003618,0.998785,-0.117568,1.544199,-0.328527,-0.039035,0.010839,0.015896,0.999053,-0.069399,1.1678,-0.610873,-0.035637,0.104877,-0.015305,0.993729,-0.273181,0.761882,-0.434458,-0.050857,0.02181,0.053965,0.997008,0.184408,0.845745,-0.363183,0.020473,-0.460678,0.043894,0.886245,-0.191022,0.100736,-0.521588,-0.017941,0.05009,0.020985,0.998363,0.16393,0.098244,-0.547625
16,0.266667,-0.004306,0.043605,-0.008258,0.999005,0.893618,0.135648,-0.170651,-0.001699,-0.107637,-0.003415,0.994183,-0.005059,-0.020755,0.097268,-0.001603,0.152567,0.001391,0.988291,0.521299,0.011387,-0.339599,,,,,,,,-0.044017,-0.17519,0.316194,0.931339,-0.042613,-0.032052,-0.246243,-0.007931,0.957641,-0.003973,0.287828,-0.532688,-0.015746,-0.151016,0.048866,-0.004937,0.003293,0.998788,-0.117798,1.543946,-0.326932,-0.037888,0.012478,0.015901,0.999078,-0.0707,1.168275,-0.61035,-0.037473,0.110817,-0.01855,0.992961,-0.274841,0.762382,-0.432295,-0.04908,0.025587,0.053237,0.997047,0.183537,0.845306,-0.364344,0.02035,-0.460428,0.044434,0.886351,-0.191103,0.100696,-0.521684,-0.018651,0.049431,0.020284,0.998397,0.163739,0.098334,-0.547786
17,0.283333,-0.004114,0.043759,-0.007404,0.999006,0.893717,0.135598,-0.170666,-0.001696,-0.107613,-0.003401,0.994186,-0.00506,-0.020755,0.097264,-0.001666,0.152612,0.001301,0.988284,0.521302,0.011378,-0.339602,,,,,,,,-0.044184,-0.175209,0.316536,0.931211,-0.042658,-0.032033,-0.246263,-0.007876,0.957644,-0.004379,0.287813,-0.532684,-0.01575,-0.151009,0.048653,-0.003816,0.00309,0.998804,-0.117966,1.54367,-0.325391,-0.035991,0.014218,0.01585,0.999125,-0.071838,1.168759,-0.609912,-0.039512,0.115902,-0.021924,0.992232,-0.277056,0.762748,-0.429712,-0.038737,0.056844,0.04122,0.996779,0.181902,0.84463,-0.366275,0.020154,-0.46017,0.045055,0.886458,-0.191185,0.100651,-0.521754,-0.018959,0.050252,0.020095,0.998354,0.163743,0.098445,-0.547959
18,0.3,-0.004248,0.043478,-0.008263,0.999011,0.893625,0.135641,-0.170649,-0.001696,-0.107611,-0.003422,0.994186,-0.005053,-0.020753,0.097268,-0.001583,0.15252,0.001137,0.988299,0.521301,0.011386,-0.339602,,,,,,,,-0.044119,-0.175086,0.31687,0.931124,-0.042672,-0.032033,-0.246273,-0.007956,0.957615,-0.003842,0.287915,-0.532685,-0.015747,-0.151014,0.047864,-0.003644,0.002876,0.998843,-0.118204,1.543397,-0.323737,-0.03446,0.01587,0.015836,0.999155,-0.073034,1.169246,-0.609488,-0.042126,0.120386,-0.025375,0.991508,-0.279598,0.763037,-0.426579,-0.043642,0.022075,0.051633,0.997468,0.181058,0.844017,-0.367254,0.019861,-0.459783,0.045842,0.886625,-0.191268,0.100615,-0.521821,-0.019671,0.050625,0.019938,0.998325,0.163666,0.098533,-0.548023
