Format Version,1.1,Take Name,Take 2015-02-20 02.11.14 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2015-02-20 02.11.14.443 PM,Total Frames,4115,Rotation Type,Quaternion

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
6,0.050000,-0.009565,0.040280,-0.007639,0.999114,0.893842,0.134876,-0.170596,-0.003648,-0.108492,-0.001680,0.994089,-0.004902,-0.021227,0.097214,-0.002378,0.150807,0.003163,0.988555,0.521027,0.011947,-0.339176,-0.060260,-0.128193,0.954147,0.263700,0.380103,0.007838,-0.351661,-0.038218,-0.176464,0.289004,0.940147,-0.042546,-0.032529,-0.246726,-0.005154,0.958010,-0.002937,0.286674,-0.532708,-0.015229,-0.150710,0.050070,-0.038093,0.010635,0.997962,-0.061230,1.542436,-0.088149,-0.048099,-0.055178,-0.026761,0.996958,-0.000249,1.166342,-0.350768,-0.087105,0.065853,-0.036579,0.993347,-0.246501,0.796530,-0.207544,-0.020727,-0.058354,0.002285,0.998078,0.184731,0.823514,-0.071527,0.005420,-0.495376,-0.022077,0.868381,-0.233100,0.108268,-0.277870,-0.034611,0.099994,0.037598,0.993675,0.203208,0.100550,-0.258034
7,0.058333,-0.009130,0.037921,-0.007004,0.999215,0.894078,0.134593,-0.170119,-0.003611,-0.108445,-0.001726,0.994094,-0.004852,-0.021217,0.097227,-0.002103,0.151401,0.003279,0.988465,0.521092,0.011936,-0.339169,-0.060260,-0.128063,0.954135,0.263808,0.380106,0.007842,-0.351659,-0.040115,-0.175932,0.295847,0.938037,-0.042432,-0.032276,-0.246682,-0.005088,0.957997,-0.002691,0.286720,-0.532705,-0.015209,-0.150711,0.050157,-0.037937,0.010631,0.997964,-0.061314,1.542422,-0.088175,-0.048634,-0.055455,-0.026657,0.996920,-0.000233,1.166349,-0.350786,-0.087261,0.066129,-0.036733,0.993309,-0.246480,0.796574,-0.207491,-0.021102,-0.059655,0.003221,0.997991,0.184583,0.823507,-0.071467,0.005533,-0.495807,-0.022379,0.868127,-0.233133,0.108244,-0.277881,-0.030048,0.102171,0.032462,0.993783,0.203299,0.100388,-0.258263
8,0.066667,-0.008977,0.041494,-0.008078,0.999066,0.893685,0.135135,-0.170648,-0.003609,-0.108339,-0.001719,0.994106,-0.004829,-0.021213,0.097223,-0.002156,0.151296,0.003223,0.988481,0.521038,0.011939,-0.339131,-0.060254,-0.128186,0.954095,0.263896,0.380100,0.007853,-0.351663,-0.038526,-0.176583,0.289194,0.940054,-0.042563,-0.032502,-0.246787,-0.005147,0.958018,-0.003151,0.286645,-0.532688,-0.015229,-0.150704,0.050228,-0.037889,0.010617,0.997962,-0.061398,1.542423,-0.088200,-0.048203,-0.055499,-0.026521,0.996942,-0.000226,1.166351,-0.350809,-0.087429,0.066361,-0.036930,0.993272,-0.246455,0.796610,-0.207435,-0.021067,-0.060094,0.003222,0.997965,0.184544,0.823533,-0.071440,0.004259,-0.496025,-0.020679,0.868052,-0.233039,0.108319,-0.277868,-0.035597,0.098191,0.039557,0.993744,0.203190,0.100582,-0.258281
9,0.075000,-0.008848,0.039761,-0.007769,0.999140,0.893787,0.134735,-0.170746,-0.003567,-0.108616,-0.001727,0.994076,-0.004839,-0.021205,0.097248,-0.001744,0.151088,0.003360,0.988513,0.521012,0.011923,-0.339144,-0.060271,-0.128142,0.954171,0.263638,0.380106,0.007830,-0.351663,-0.039297,-0.175932,0.289900,0.939926,-0.042517,-0.032438,-0.246686,-0.005028,0.958003,-0.002670,0.286703,-0.532705,-0.015198,-0.150712,0.050186,-0.037897,0.010548,0.997965,-0.061485,1.542413,-0.088223,-0.047985,-0.055769,-0.026456,0.996939,-0.000220,1.166362,-0.350835,-0.087617,0.066788,-0.036993,0.993224,-0.246416,0.796634,-0.207383,-0.020865,-0.060340,0.003846,0.997952,0.184421,0.823533,-0.071364,0.004191,-0.496025,-0.020577,0.868054,-0.233033,0.108324,-0.277865,-0.033654,0.100684,0.035689,0.993708,0.203297,0.100579,-0.258156
10,0.083333,-0.008914,0.041089,-0.008050,0.999083,0.893670,0.135096,-0.170850,-0.003583,-0.108467,-0.001719,0.994092,-0.004847,-0.021209,0.097232,-0.001942,0.151032,0.003350,0.988521,0.521003,0.011933,-0.339147,-0.060273,-0.128181,0.954136,0.263745,0.380107,0.007849,-0.351663,-0.038542,-0.174887,0.290229,0.940051,-0.042353,-0.032421,-0.246644,-0.005168,0.958002,-0.002715,0.286702,-0.532707,-0.015224,-0.150713,0.050051,-0.037936,0.010423,0.997972,-0.061576,1.542413,-0.088253,-0.048024,-0.056006,-0.026368,0.996926,-0.000225,1.166366,-0.350859,-0.087648,0.067041,-0.037139,0.993199,-0.246382,0.796653,-0.207347,-0.021554,-0.060897,0.003811,0.997904,0.184360,0.823522,-0.071391,0.004703,-0.495557,-0.021308,0.868302,-0.233066,0.108292,-0.277908,-0.034161,0.100044,0.037656,0.993683,0.203127,0.100312,-0.258021
11,0.091667,-0.010386,0.039375,-0.007397,0.999143,0.893927,0.134756,-0.170306,-0.003638,-0.108369,-0.001678,0.994103,-0.004836,-0.021219,0.097218,-0.002165,0.151062,0.003378,0.988516,0.520996,0.011943,-0.339131,-0.060318,-0.128198,0.954139,0.263715,0.380109,0.007841,-0.351673,-0.039571,-0.176487,0.291255,0.939392,-0.042651,-0.032435,-0.246732,-0.005164,0.958002,-0.002862,0.286700,-0.532702,-0.015225,-0.150710,0.050078,-0.037765,0.010391,0.997977,-0.061671,1.542406,-0.088284,-0.048101,-0.056059,-0.026340,0.996920,-0.000235,1.166376,-0.350894,-0.087737,0.067118,-0.037078,0.993188,-0.246357,0.796651,-0.207325,-0.022241,-0.064029,0.004517,0.997690,0.184242,0.823491,-0.071307,0.004439,-0.495770,-0.021053,0.868187,-0.232940,0.108307,-0.277918,-0.034630,0.100615,0.037100,0.993630,0.203300,0.100268,-0.258029
12,0.100000,-0.009053,0.041103,-0.008078,0.999081,0.893673,0.135091,-0.170858,-0.003714,-0.108392,-0.001622,0.994100,-0.004865,-0.021243,0.097206,-0.001864,0.150883,0.003353,0.988544,0.521012,0.011923,-0.339134,-0.060235,-0.128153,0.954116,0.263838,0.380103,0.007851,-0.351659,-0.040446,-0.178123,0.298776,0.936680,-0.042490,-0.032155,-0.246728,-0.005124,0.957992,-0.002698,0.286737,-0.532705,-0.015216,-0.150715,0.050268,-0.037746,0.010382,0.997968,-0.061764,1.542391,-0.088317,-0.047997,-0.056252,-0.026353,0.996914,-0.000251,1.166384,-0.350927,-0.087784,0.067219,-0.037186,0.993173,-0.246328,0.796636,-0.207317,-0.022596,-0.064927,0.004722,0.997623,0.184212,0.823466,-0.071291,0.004148,-0.495961,-0.020714,0.868088,-0.233016,0.108326,-0.277907,-0.034192,0.099675,0.036719,0.993754,0.203257,0.100272,-0.258001
13,0.108333,-0.010549,0.039041,-0.007371,0.999155,0.893959,0.134712,-0.170206,-0.003721,-0.108356,-0.001550,0.994104,-0.004873,-0.021244,0.097204,-0.002117,0.150803,0.003267,0.988556,0.521016,0.011935,-0.339139,-0.060167,-0.127999,0.954088,0.264029,0.380100,0.007858,-0.351657,-0.039469,-0.175389,0.292116,0.939335,-0.042442,-0.032381,-0.246745,-0.005048,0.958031,-0.002916,0.286605,-0.532697,-0.015197,-0.150709,0.050289,-0.037872,0.010397,0.997962,-0.061863,1.542381,-0.088365,-0.048013,-0.056292,-0.026252,0.996914,-0.000268,1.166390,-0.350961,-0.087770,0.067262,-0.036939,0.993181,-0.246299,0.796611,-0.207326,-0.022579,-0.066143,0.005016,0.997542,0.184172,0.823454,-0.071258,0.004502,-0.495717,-0.021320,0.868211,-0.232981,0.108300,-0.277952,-0.033292,0.101069,0.036903,0.993637,0.203202,0.100338,-0.258135
14,0.116667,-0.008439,0.041419,-0.008204,0.999073,0.893660,0.135174,-0.170675,-0.002706,-0.108462,-0.001823,0.994095,-0.004873,-0.021002,0.097213,-0.002017,0.150892,0.003292,0.988543,0.521000,0.011932,-0.339126,-0.060252,-0.128153,0.954104,0.263881,0.380107,0.007867,-0.351653,-0.039084,-0.175247,0.290131,0.939992,-0.042468,-0.032460,-0.246724,-0.005073,0.958005,-0.002705,0.286695,-0.532707,-0.015220,-0.150712,0.050298,-0.037749,0.010409,0.997966,-0.061965,1.542371,-0.088404,-0.048084,-0.056443,-0.026218,0.996903,-0.000293,1.166394,-0.351002,-0.087753,0.067328,-0.036833,0.993182,-0.246262,0.796574,-0.207357,-0.021341,-0.066193,0.005387,0.997564,0.184117,0.823463,-0.071234,0.004116,-0.495894,-0.020911,0.868121,-0.233010,0.108317,-0.277949,-0.034132,0.100979,0.037749,0.993586,0.203364,0.100341,-0.258201
15,0.125000,-0.008294,0.041886,-0.008292,0.999054,0.893604,0.135284,-0.170966,-0.003659,-0.108492,-0.001671,0.994089,-0.004900,-0.021231,0.097213,-0.002234,0.151354,0.003259,0.988472,0.521098,0.011951,-0.339192,-0.060225,-0.128020,0.954112,0.263921,0.380104,0.007850,-0.351656,-0.039246,-0.176508,0.290374,0.939674,-0.042445,-0.032476,-0.246766,-0.005088,0.957994,-0.002616,0.286732,-0.532709,-0.015218,-0.150717,0.050503,-0.037649,0.010489,0.997959,-0.062067,1.542356,-0.088449,-0.048193,-0.056541,-0.026484,0.996885,-0.000328,1.166393,-0.351047,-0.087823,0.067157,-0.036437,0.993202,-0.246206,0.796536,-0.207389,-0.021636,-0.066767,0.005051,0.997521,0.184183,0.823483,-0.071272,0.004703,-0.495603,-0.021772,0.868264,-0.233018,0.108301,-0.277957,-0.034043,0.100129,0.036061,0.993738,0.203115,0.100254,-0.257981
16,0.133333,-0.009493,0.040322,-0.007810,0.999111,0.893752,0.134846,-0.170751,-0.003641,-0.108392,-0.001688,0.994100,-0.004854,-0.021221,0.097198,-0.001709,0.151080,0.003374,0.988514,0.521002,0.011914,-0.339146,-0.060201,-0.128182,0.954094,0.263912,0.380102,0.007859,-0.351656,-0.039548,-0.176243,0.294183,0.938526,-0.042387,-0.032312,-0.246671,-0.005089,0.958001,-0.002851,0.286707,-0.532702,-0.015205,-0.150709,0.050441,-0.037938,0.010452,0.997952,-0.062174,1.542347,-0.088508,-0.048576,-0.056563,-0.026466,0.996865,-0.000355,1.166393,-0.351091,-0.087829,0.067049,-0.036330,0.993212,-0.246183,0.796506,-0.207433,-0.022010,-0.067658,0.005208,0.997452,0.184123,0.823403,-0.071178,0.003678,-0.495926,-0.020432,0.868116,-0.233002,0.108339,-0.277940,-0.034669,0.099157,0.037535,0.993759,0.203317,0.100283,-0.258074
17,0.141667,-0.010088,0.039724,-0.007494,0.999132,0.893892,0.134800,-0.170421,-0.003625,-0.108378,-0.001703,0.994102,-0.004858,-0.021220,0.097213,-0.001913,0.150990,0.003328,0.988528,0.521016,0.011927,-0.339136,-0.060229,-0.128136,0.954086,0.263956,0.380102,0.007855,-0.351664,-0.039055,-0.176607,0.289843,0.939828,-0.042513,-0.032425,-0.246742,-0.005172,0.957991,-0.002812,0.286738,-0.532697,-0.015213,-0.150711,0.050479,-0.037997,0.010523,0.997947,-0.062273,1.542342,-0.088578,-0.048359,-0.056542,-0.026422,0.996878,-0.000387,1.166395,-0.351131,-0.087815,0.066932,-0.036174,0.993227,-0.246154,0.796467,-0.207497,-0.021433,-0.066879,0.006410,0.997510,0.184092,0.823456,-0.071154,0.004603,-0.495622,-0.021962,0.868249,-0.233037,0.108290,-0.278004,-0.034283,0.100298,0.036646,0.993691,0.203321,0.100555,-0.258210
18,0.150000,-0.007868,0.041900,-0.008236,0.999057,0.893629,0.135256,-0.170905,-0.003668,-0.108413,-0.001651,0.994098,-0.004847,-0.021232,0.097217,-0.002162,0.150784,0.003227,0.988559,0.521010,0.011934,-0.339163,-0.060213,-0.128182,0.954122,0.263809,0.380109,0.007854,-0.351654,-0.038193,-0.176850,0.284411,0.941475,-0.042726,-0.032587,-0.246830,-0.005137,0.957992,-0.002719,0.286735,-0.532699,-0.015206,-0.150714,0.050586,-0.038065,0.010632,0.997937,-0.062373,1.542339,-0.088649,-0.048303,-0.056520,-0.026331,0.996885,-0.000420,1.166387,-0.351175,-0.087789,0.067035,-0.036261,0.993219,-0.246160,0.796437,-0.207553,-0.022573,-0.067227,0.005722,0.997466,0.184205,0.823453,-0.071174,0.004698,-0.495608,-0.022270,0.868248,-0.233041,0.108282,-0.278013,-0.034249,0.099360,0.037395,0.993759,0.203342,0.100299,-0.258140
19,0.158333,-0.007748,0.042484,-0.008401,0.999032,0.893563,0.135399,-0.170820,-0.003701,-0.108420,-0.001591,0.994097,-0.004876,-0.021237,0.097211,-0.001890,0.151220,0.003372,0.988493,0.521024,0.011931,-0.339153,-0.060229,-0.128129,0.954102,0.263904,0.380097,0.007850,-0.351662,-0.038754,-0.176506,0.288818,0.940175,-0.042575,-0.032514,-0.246718,-0.005101,0.958012,-0.002783,0.286670,-0.532706,-0.015199,-0.150712,0.050451,-0.038189,0.010675,0.997939,-0.062468,1.542347,-0.088725,-0.048135,-0.056558,-0.026272,0.996892,-0.000454,1.166388,-0.351219,-0.087803,0.066981,-0.036105,0.993227,-0.246160,0.796412,-0.207600,-0.022065,-0.066766,0.006307,0.997505,0.184198,0.823469,-0.071188,0.003651,-0.495940,-0.020766,0.868101,-0.232954,0.108328,-0.278000,-0.034199,0.100532,0.035958,0.993696,0.203186,0.100243,-0.257938
